phone_number,radius_of_gyration,location_entropy,peak_commute_ratio,rail_transit_proximity,unique_anchors,total_data_volume_mb,total_voice_duration_secs,sms_to_voice_ratio,activity_ratio,night_activity_ratio,weekend_ratio,avg_voice_duration,voice_activity_density,sms_activity_density,active_days,hour_entropy,unique_contacts,contact_entropy,incoming_outgoing_ratio,avg_call_duration,avg_response_delay
+919820000000,0.01486486076305492,3.796057822958525,0.676056338028169,0.5303867403314917,79,0,0,0.0,0.0,0.3701657458563536,0.292817679558011,0,0.0,0.0,14,4.479042589568463,13,3.001315879975218,0.0,85.35185185185185,21.729389411381984
+919820000001,0.031731090926203506,4.995219538866777,0.5714285714285714,0.5478723404255319,107,0,0,0.0,0.0,0.3351063829787234,0.2872340425531915,0,0.0,0.0,14,4.522703494788178,16,3.4028641141188705,0.0,35.45762711864407,22.502317446653414
+919820000002,0.04856021748927025,4.850562183670993,0.6195652173913043,0.375,112,0,0,0.0,0.0,0.29,0.26,0,0.0,0.0,14,4.476174127493616,11,3.0938009981693964,0.0,59.41077441077441,8.691015848238942
+919820000003,0.02864455929311774,4.981032188695186,0.5595238095238095,0.6273584905660378,121,0,0,0.0,0.0,0.38207547169811323,0.2358490566037736,0,0.0,0.0,14,4.521176818290416,12,2.9838113173554817,0.0,42.10526315789474,24.478406710627862
+919820000004,0.06457822553334992,5.038009796770024,0.6266666666666667,0.48128342245989303,112,0,0,0.0,0.0,0.31016042780748665,0.25668449197860965,0,0.0,0.0,14,4.515959017523088,9,2.88254661965218,0.0,73.19371727748691,18.998626046815115
+919820000005,0.010222353769570418,3.3558627315635734,0.5384615384615384,0.3202247191011236,66,0,0,0.0,0.0,0.33707865168539325,0.29213483146067415,0,0.0,0.0,14,4.457347513082276,8,2.4870464364333205,0.0,108.08108108108108,28.427646728968032
+919820000006,0.03795729054618467,4.617856952640055,0.550561797752809,0.44285714285714284,112,0,0,0.0,0.0,0.38095238095238093,0.2761904761904762,0,0.0,0.0,14,4.505679681843737,15,3.271894977062135,0.0,50.80578512396694,21.08521610289197
+919820000007,0.1374156128362558,4.337200891548684,0.49333333333333335,0.24719101123595505,90,0,0,0.0,0.0,0.33146067415730335,0.25280898876404495,0,0.0,0.0,14,4.45229783084746,14,3.340053910694789,0.0,60.03191489361702,24.112943258976568
+919820000008,0.04496101402432298,4.05609142209688,0.6162790697674418,0.13725490196078433,96,0,0,0.0,0.0,0.3137254901960784,0.30392156862745096,0,0.0,0.0,14,4.533001844221754,10,2.9753330512836036,0.0,64.02824858757062,17.75078740991045
+919820000009,0.023905697432849402,3.4236946242632618,0.7045454545454546,0.4375,81,0,0,0.0,0.0,0.33653846153846156,0.27884615384615385,0,0.0,0.0,14,4.460384675357024,10,2.8923298786024416,0.0,68.45604395604396,26.029572346114147
+919820000010,0.12510849430748777,4.862802209418449,0.6805555555555556,0.055865921787709494,104,0,0,0.0,0.0,0.3463687150837989,0.26256983240223464,0,0.0,0.0,14,4.515647919717261,14,3.3196091330947626,0.0,55.52320675105485,19.419914852908
