phone_number,timestamp,latitude,longitude,tower_id,near_railway_node
+919820000428,2024-01-01 13:18:00,19.115887151086312,72.86640471967081,TWR_24_0428,0
+919820000428,2024-01-01 23:21:00,19.121950293050176,72.85288556533624,TWR_HOME_Jogeshwari,1
+919820000428,2024-01-01 07:57:00,19.142189553987993,72.8361491362357,TWR_HOME_Jogeshwari,0
+919820000428,2024-01-01 08:54:00,19.117008109294332,72.83809958359828,TWR_HOME_Jogeshwari,1
+919820000428,2024-01-01 02:38:00,19.145021392301075,72.83808067598538,TWR_HOME_Jogeshwari,0
+919820000428,2024-01-01 14:32:00,19.123207235876475,72.84681508021312,TWR_25_0428,1
+919820000428,2024-01-01 09:23:00,19.124309655982163,72.85620274498476,TWR_26_0428,0
+919820000428,2024-01-01 15:29:00,19.129062292702585,72.83835291783618,TWR_27_0428,1
+919820000428,2024-01-01 01:07:00,19.12407722558195,72.8425129324872,TWR_28_0428,0
+919820000428,2024-01-01 02:23:00,19.15150087505946,72.85300372239354,TWR_29_0428,0
+919820000428,2024-01-02 08:14:00,19.123972989333776,72.82907192107265,TWR_HOME_Jogeshwari,1
+919820000428,2024-01-02 03:24:00,19.14911853266187,72.8426492692399,TWR_HOME_Jogeshwari,0
+919820000428,2024-01-02 15:33:00,19.128806796053574,72.86490122912286,TWR_30_0428,0
+919820000428,2024-01-02 05:21:00,19.135866603411003,72.8558983347765,TWR_HOME_Jogeshwari,1
+919820000428,2024-01-02 21:02:00,19.117852091132725,72.85889749242665,TWR_HOME_Jogeshwari,1
+919820000428,2024-01-02 12:50:00,19.142542114485593,72.84897609914468,TWR_HOME_Jogeshwari,0
+919820000428,2024-01-02 05:40:00,19.13822502551756,72.85106833886354,TWR_HOME_Jogeshwari,1
+919820000428,2024-01-02 08:23:00,19.14442381421768,72.84162751545276,TWR_HOME_Jogeshwari,1
+919820000428,2024-01-02 02:12:00,19.128984469856025,72.83939319032514,TWR_HOME_Jogeshwari,1
+919820000428,2024-01-02 05:27:00,19.133237701682752,72.81486490332802,TWR_31_0428,0
+919820000428,2024-01-02 17:38:00,19.134056926985945,72.84108448683126,TWR_HOME_Jogeshwari,0
+919820000428,2024-01-02 05:52:00,19.153197220021998,72.85100258079063,TWR_HOME_Jogeshwari,1
+919820000428,2024-01-02 19:10:00,19.129763323936373,72.83485367739387,TWR_32_0428,0
+919820000428,2024-01-02 08:33:00,19.125517945297325,72.86231401746912,TWR_33_0428,1
